,cluster,Learning_style
0,0,Resilient-multiple type-fast learner-quick-low scorer
1,1,Resilient-book type-fast learner-time taking-low scorer
2,2,Resilient-video type-fast learner-time taking-low scorer
3,3,Efficient-book type-fast learner-quick-low scorer
4,4,Resilient-multiple type-slow learner-quick-high scorer
5,5,Efficient-video type-slow learner-quick-low scorer
6,6,Efficient-multiple type-fast learner-time taking-high scorer
7,7,Resilient-video type-slow learner-quick-high scorer
8,8,Efficient-book type-fast learner-time taking-high scorer
9,9,Efficient-multiple type-fast learner-time taking-low scorer
10,10,Efficient-multiple type-slow learner-quick-high scorer
11,11,Resilient-multiple type-slow learner-quick-high scorer
12,12,Efficient-book type-fast learner-time taking-low scorer
13,13,Efficient-book type-fast learner-quick-high scorer
14,14,Resilient-multiple type-slow learner-quick-low scorer
15,15,Resilient-multiple type-slow learner-time taking-high scorer
16,16,Resilient-book type-fast learner-time taking-high scorer
17,17,Resilient-video type-slow learner-time taking-high scorer
18,18,Efficient-video type-fast learner-quick-high scorer
19,19,Efficient-video type-slow learner-time taking-high scorer
20,20,Resilient-multiple type-fast learner-quick-high scorer
21,21,Resilient-video type-slow learner-quick-low scorer
22,22,Resilient-video type-fast learner-time taking-high scorer
23,23,Efficient-multiple type-slow learner-quick-low scorer
24,24,Resilient-video type-slow learner-quick-low scorer
25,25,Resilient-multiple type-fast learner-time taking-high scorer
26,26,Efficient-multiple type-slow learner-time taking-low scorer
27,27,Efficient-multiple type-fast learner-quick-low scorer
28,28,Efficient-multiple type-slow learner-time taking-low scorer
29,29,Efficient-video type-fast learner-time taking-low scorer
30,30,Resilient-book type-fast learner-quick-low scorer
31,31,Efficient-video type-fast learner-quick-low scorer
